	Actinotignum	GU303868_g	Arcanobacterium	Mobiluncus	Gemella	Alloscardovia	Staphylococcus	Aerococcus	Facklamia	Bifidobacterium	Enterococcus	Gardnerella	L. crispatus	L. gasseri	L. iners	L. jensenii	Limosilactobacillus	Streptococcus	Clostridium	Corynebacterium	Blautia	CP009312_g	Howardella	Moryella	JRNA_g	Peptococcus	Peptostreptococcus	Faecalibacterium	Fastidiosipila	JN713389_g	KQ959578_g	Brevibacterium	Dialister	Megasphaera	Negativicoccus	Veillonella	Anaerococcus	CYUO_g	Ezakiella	Fenollaria	Finegoldia	Helcococcus	KI259813_g	Murdochiella	Parvimonas	Peptoniphilus	Fusobacterium	Sneathia	Sutterella	FM873692_g	Neisseria	Campylobacter	Escherichia	Actinobacillus	Jonquetella	Ureaplasma	Nesterenkonia	Atopobium	KQ959671_g	Olsenella	Bacteroides	Actinomyces	Porphyromonas	Prevotella
Dialister	0.0	0.0	-0.10896067409113046	0.0	0.0	0.0	-0.14994644079363928	0.16418664314034231	0.0	0.0	-0.21535544956347813	0.20621545147447984	-0.28937751368781356	0.0	-0.12242918837882187	-0.1930848439443575	-0.24528598269316096	0.11232963669378718	-0.23270356632932682	0.0	-0.20430861771116693	0.24637823742942075	0.24072557350000534	0.0	-0.18461915426141995	0.0	0.23666118734144126	-0.20042350669868594	-0.11554306590815483	-0.11241806724603537	0.0	-0.14325780513084202	0.0	0.2635171607052623	0.0	0.0	0.5098063638689929	-0.12801371478515775	0.1476194694858913	0.26236573089920623	0.3398456020959114	-0.15491951606891666	-0.13424701665133648	0.0	0.11472927763104483	0.6176142806698106	0.15512270468237283	0.11488624108475666	0.0	-0.16894076595585528	-0.23259382762480835	0.33522275856636163	-0.2001556051438239	-0.22541843874169898	0.0	-0.1398257149600492	-0.15378824055754947	0.3274266766897614	0.0	0.0	-0.19256521855479633	0.2922674968368813	0.29775187811922305	0.7671151882397613
Megasphaera	0.0	0.0	0.0	0.1086910493293055	0.14051367229123088	0.0	-0.2209728787647201	0.2578169371377195	-0.12831575169852621	0.0	0.0	0.2942414066300699	-0.160711514394614	-0.11827914949347013	0.0	-0.17962751642161123	-0.20025244851104204	-0.1676801535278133	0.0	-0.21642631735844184	0.0	0.0	0.0	0.14336509748886356	0.0	0.0	0.0	0.0	0.0	0.0	0.37561237450980056	0.0	0.2635171607052623	0.0	-0.10722252815805908	-0.10446776421848636	0.0	0.0	-0.11056747280885255	0.0	-0.19595464698976334	0.0	0.0	0.0	0.29713810147921843	0.0	0.0	0.4069417536508213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4248212192972296	0.35195815260911656	0.0	0.0	-0.10076615954609489	0.0	0.28709509759813084
Negativicoccus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.11663741507195591	0.0	0.0	0.0	0.0	0.0	0.0	-0.10722252815805908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.11264583554535842	0.0	0.0	0.0	0.0	0.0	0.0
Veillonella	0.0	0.0	0.0	-0.11690914524105114	0.14501387500631352	0.0	0.12224470115305323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2608342063664162	0.0	0.0	0.0	0.0	0.0	-0.10990053981854639	0.0	-0.10189104379660116	0.10023286860359977	0.0	0.0	0.0	-0.11415603195361632	0.0	0.0	-0.10446776421848636	0.0	0.0	0.0	0.0	-0.12895355812155773	-0.10838124096119733	0.13535926110056806	0.0	0.0	0.0	-0.10059150115799635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13974267221131098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16904473891637697	0.0
Anaerococcus	0.0	-0.12531916849864078	-0.1282783879288555	0.0	0.0	0.0	0.1214370399436108	0.0	0.14254753266566672	0.0	-0.1437491711376509	0.0	-0.15492977840014277	0.0	-0.11168462585750569	0.0	-0.1219680528702564	0.2314705451153875	-0.12888439613736846	0.3479632996419104	-0.14176795815028137	0.28295015563088016	0.22952842546719915	0.0	-0.13140985410124253	0.0	0.1613859019421292	-0.14685760333652606	0.0	0.0	-0.14682166277597455	0.0	0.5098063638689929	0.0	0.0	0.0	0.0	0.0	0.22489426227910095	0.27968513673140943	0.6319328352385855	0.0	-0.10110030039433993	0.0	0.0	0.7018344864781277	0.0	-0.12536492322171025	0.0	-0.10484805806157341	-0.16653612054148126	0.33818702463469974	-0.13137058557811115	-0.14486367362270236	0.0	-0.12974816713210463	-0.10060509999100817	0.0	-0.19694112154703525	0.0	-0.1373948920763031	0.37632511706749194	0.2871991830111883	0.5489985206063185
CYUO_g	0.0	0.0	0.0	0.0	-0.10851951294337449	0.0	0.0	0.0	0.10440558698214047	0.0	0.0	0.0	0.12538374821256873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1048066496435566	0.0	-0.13155253310036422	0.0	0.11042467559220442	0.0	0.0	0.10676544251412728	-0.12801371478515775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13429605572733833	0.11971605978741107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10541857135713102	0.0	0.0	0.0	0.0	0.0	0.0	-0.14833073586629208
Ezakiella	0.0	0.0	0.0	0.10488953718823046	-0.19430675684492102	0.0	0.0	0.0	0.18682522440396543	0.0	-0.14122398877820558	-0.13521965733530522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16037035884329554	0.0	0.13661843025729106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.13384576877880283	0.0	0.1476194694858913	-0.11056747280885255	0.0	-0.12895355812155773	0.22489426227910095	0.0	0.0	0.34593981501341986	0.11557938339167756	0.0	0.0	0.11102796692981423	-0.12597017893257556	0.2673665038903625	0.0	-0.16405653413888208	0.0	-0.11705474986089098	-0.13375139284898097	0.3168112648354223	-0.10733260528299113	-0.14061242725142792	0.0	-0.10852390293100157	0.0	0.0	-0.18435380634606163	0.0	0.0	0.19821710384013735	0.3410524175734503	0.1337064770356517
Fenollaria	0.0	0.0	0.0	0.11451017186659193	-0.15626419040791134	0.0	0.0	0.0	0.0	0.0	-0.1933914843382267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13756430324240443	-0.13392477788786272	0.15180662124075606	0.0	0.0	0.0	0.10088349255107015	0.0	-0.12224574182286338	0.0	0.0	-0.10225281662206806	0.0	0.26236573089920623	0.0	0.0	-0.10838124096119733	0.27968513673140943	0.0	0.34593981501341986	0.0	0.1616784781420768	0.0	0.0	0.11602950176522318	0.0	0.326606690059705	0.0	-0.1262401715580232	0.0	-0.1537128841737722	-0.16982302405820823	0.3041151484514698	-0.1485974347895374	-0.16373545164347716	0.0	0.0	0.0	0.0	-0.1655349153656847	0.0	-0.12843546132449743	0.17867868913510637	0.37718051672160297	0.26382518830472457
Finegoldia	0.0	-0.16557135120471977	-0.15331839348672344	0.0	-0.13826976682820274	0.0	0.26133289042888014	-0.1478155591004408	0.12137653634487469	0.0	0.0	-0.12439677548733327	0.0	0.0	0.0	0.0	0.0	0.2433387799546694	0.0	0.42036327227201	0.0	0.33405402456653716	0.13374893847897548	-0.1255963632186849	-0.10516273514163699	0.0	0.1229990299336658	0.0	0.0	0.0	-0.2814788735000271	0.0	0.3398456020959114	-0.19595464698976334	0.0	0.13535926110056806	0.6319328352385855	0.0	0.11557938339167756	0.1616784781420768	0.0	0.0	-0.12720627344425872	0.0	-0.25294763552923094	0.602681826566295	0.0	-0.2891573507579236	0.0	0.0	-0.12038736709103826	0.2159690528056517	0.0	0.0	0.0	0.0	0.0	-0.14715089446593527	-0.2936742738899248	0.0	0.0	0.3267688613824628	0.0	0.3875195446736417
Helcococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15504180315517782	0.0	0.0	0.0	0.11807058183475827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1427190911459616	0.0	0.1870695403518302	0.0	0.0	0.19659274367547575	-0.15491951606891666	0.0	0.0	0.0	0.0	0.13429605572733833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.10054546185185963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20050231788130438	0.0	0.0	0.0	0.0	0.0	0.0	-0.16881288431085623
KI259813_g	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13055512792231794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10791319973461441	0.0	-0.10404809368736816	0.0	0.0	0.0	0.0	0.0	-0.13424701665133648	0.0	0.0	0.0	-0.10110030039433993	0.11971605978741107	0.0	0.0	-0.12720627344425872	0.0	0.0	0.0	0.0	-0.10966459648822709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.15521784088861446
Murdochiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11102796692981423	0.11602950176522318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.10827817882800991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Parvimonas	0.0	0.0	0.0	0.0	0.20640137027487387	0.0	-0.22581735156200078	0.19761288562781776	0.0	0.0	0.0	0.23325949524915585	-0.12929209995379431	-0.10948762932517749	0.0	-0.1204783404667199	-0.14157954785923252	-0.11525521941612782	0.0	-0.26496453880803494	0.0	-0.16176060460085478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38076574529051893	0.0	0.11472927763104483	0.29713810147921843	0.0	-0.10059150115799635	0.0	0.0	-0.12597017893257556	0.0	-0.25294763552923094	0.0	0.0	0.0	0.0	0.0	0.0	0.4019660415782077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3359591353698563	0.3243254605563879	0.0	0.0	-0.1223718832222341	0.0	0.1340725048723428
Peptoniphilus	0.0	-0.11854836690550352	-0.10392321353263648	0.0	0.0	0.0	0.0	0.0	0.1307140751510268	0.0	-0.17731209571773704	0.0	-0.1506716901746052	0.0	-0.11087093289112274	-0.11056970271921776	-0.16050536894644157	0.16874443302020553	-0.14948129649643355	0.2980350075054573	-0.17827473030892804	0.2891014373253597	0.17706275457619275	0.0	-0.1434323408601099	0.0	0.19188023036742424	-0.15981115409793167	0.0	0.0	0.0	-0.10724133469861216	0.6176142806698106	0.0	0.0	0.0	0.7018344864781277	0.0	0.2673665038903625	0.326606690059705	0.602681826566295	-0.10054546185185963	-0.10966459648822709	0.0	0.0	0.0	0.11976160455324401	0.0	0.0	-0.13669889344476277	-0.1959023820122885	0.38261690050248365	-0.16620106619777958	-0.1759269331399468	0.0	-0.14395947669788922	-0.12250601305733952	0.0	-0.1257617397020132	0.0	-0.1549786311923899	0.3962838032272026	0.3508653281022872	0.6571551267713487
Fusobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14281985821887566	0.0	0.0	0.0	0.0	0.0	0.15512270468237283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11976160455324401	0.0	0.0	0.0	0.0	0.0	0.15892487898019442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10024004553935645	0.16071264111800143
Sneathia	0.0	0.10872393840093006	0.0	0.0	0.29609559199410984	0.0	-0.2243183778384139	0.28638333421831585	-0.14086013850718454	0.0	0.0	0.3091482082251451	-0.12897238385794013	-0.10654932267589262	0.0	-0.11403717571857819	-0.12662221213870817	-0.1487852317681897	0.0	-0.28616929418676207	0.0	-0.20182348750555335	0.0	0.10786829974932685	0.0	0.0	0.0	0.0	0.0	0.0	0.45576367794689465	0.0	0.11488624108475666	0.4069417536508213	0.0	0.0	-0.12536492322171025	0.0	-0.16405653413888208	-0.1262401715580232	-0.2891573507579236	0.0	0.0	-0.10827817882800991	0.4019660415782077	0.0	0.0	0.0	0.0	0.0	0.0	-0.14785395042049793	0.0	0.0	0.0	0.0	0.0	0.3924528358187456	0.434526910139249	0.0	0.0	-0.18448188344942837	0.0	0.16418586737804408
Sutterella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FM873692_g	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11142734011526526	0.0	0.15607825914097068	0.0	0.0	0.0	0.1138876675297635	0.0	0.10787126434972735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16894076595585528	0.0	0.0	0.0	-0.10484805806157341	0.0	-0.11705474986089098	-0.1537128841737722	0.0	0.0	0.0	0.0	0.0	-0.13669889344476277	0.0	0.0	0.0	0.0	0.0	-0.134609408715892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.11332473598656603	-0.17279062908481474	-0.17786349509011018
Neisseria	0.0	0.0	0.0	0.0	0.14122719205619666	0.0	0.0	0.0	0.0	0.0	0.12070387119545606	0.0	0.15436442738453438	0.0	0.0	0.0	0.0	0.0	0.1027041636801101	0.0	0.0	-0.14292038430906004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.23259382762480835	0.0	0.0	0.0	-0.16653612054148126	0.0	-0.13375139284898097	-0.16982302405820823	-0.12038736709103826	0.0	0.0	0.0	0.0	-0.1959023820122885	0.0	0.0	0.0	0.0	0.0	-0.18378081821102735	0.12362425035117361	0.247171870575824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1474746145013765	-0.18668856454340987	-0.21326887333104144
Campylobacter	0.0	-0.10321372950377283	0.0	0.10929360323108148	-0.19387997942856414	0.0	0.0	0.0	0.1384111889881563	0.0	-0.17678562198809158	-0.10025834300343481	0.0	0.0	0.0	-0.10135396769352598	-0.14122744485397148	0.0	-0.11034124477924842	0.1488177477095961	-0.1677329421327204	0.23341507936316408	0.0	0.0	-0.10604352021664275	0.0	0.0	-0.16422005268162057	0.0	0.0	-0.1373415843511543	0.0	0.33522275856636163	0.0	0.0	0.0	0.33818702463469974	0.0	0.3168112648354223	0.3041151484514698	0.2159690528056517	0.0	0.0	0.0	0.0	0.38261690050248365	0.15892487898019442	-0.14785395042049793	0.0	-0.134609408715892	-0.18378081821102735	0.0	-0.16553642727165457	-0.17943432243050023	0.0	-0.14230025600105245	0.0	0.0	-0.20890830371729077	0.0	-0.1516106734502638	0.31936899680404907	0.33481027976788524	0.2939803693579174
Escherichia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15603784215956495	0.0	0.11617382770444731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10063524825882918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2001556051438239	0.0	0.0	0.0	-0.13137058557811115	0.0	-0.10733260528299113	-0.1485974347895374	0.0	0.0	0.0	0.0	0.0	-0.16620106619777958	0.0	0.0	0.0	0.0	0.12362425035117361	-0.16553642727165457	0.0	0.1252769138349328	0.0	0.0	0.0	0.0	0.0	0.0	0.10337402548375417	-0.12446185783898103	-0.17335437012523325	-0.1895136916003653
Actinobacillus	0.0	0.0	0.0	0.0	0.2017584582315108	0.0	0.13792250058883312	0.0	0.0	0.0	0.10675463393788676	0.0	0.13836704609750877	0.0	0.0	0.0	0.0	0.12222104604251638	0.0	0.0	0.0	-0.14939575149600504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.22541843874169898	0.0	0.0	0.13974267221131098	-0.14486367362270236	0.0	-0.14061242725142792	-0.16373545164347716	0.0	0.0	0.0	0.0	0.0	-0.1759269331399468	0.0	0.0	0.0	0.0	0.247171870575824	-0.17943432243050023	0.1252769138349328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1150170665746926	-0.18183419208294616	-0.2005149218204591
Jonquetella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14522370219891112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12717307155810642	0.0	0.0	0.0	-0.1234258462630674
Ureaplasma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19107717720279832	0.10192203359486646	0.0	0.21148985466432269	0.1098314878613492	0.1658257057794818	0.0	0.0	0.0	0.0	0.0	-0.19779971839578292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1398257149600492	0.0	0.0	0.0	-0.12974816713210463	0.0	-0.10852390293100157	0.0	0.0	0.0	0.0	0.0	0.0	-0.14395947669788922	0.0	0.0	0.0	0.0	0.0	-0.14230025600105245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16827477880973854	-0.14908120470655012	-0.14215967344560926
Nesterenkonia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11282419559574029	0.0	0.0	0.0	0.12628656187688295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.11139353898860194	0.0	0.14438189013448183	0.0	0.0	0.2345354461643868	-0.15378824055754947	0.0	0.0	0.0	-0.10060509999100817	0.10541857135713102	0.0	0.0	0.0	0.20050231788130438	0.0	0.0	0.0	-0.12250601305733952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1144567115919029	0.0	-0.17248076616151636
Atopobium	0.0	0.0	0.0	0.0	0.19718137559682103	0.0	-0.25442846039445066	0.3728079334718153	-0.1049370080469632	0.0	0.0	0.489505011221506	-0.26973698156099546	0.0	0.0	-0.18410284093645163	-0.19043309285040888	0.0	-0.15077564377774802	-0.22484142388840184	0.0	-0.1039209674680143	0.0	0.1179719564539807	0.0	0.0	0.13255052612047963	0.0	0.0	0.0	0.3487087259558609	0.0	0.3274266766897614	0.4248212192972296	-0.11264583554535842	0.0	0.0	0.0	0.0	0.0	-0.14715089446593527	0.0	0.0	0.0	0.3359591353698563	0.0	0.0	0.3924528358187456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3264185418855958	0.0	0.0	0.0	0.0	0.3272323920318118
KQ959671_g	0.0	0.10912077206874471	0.0	0.0	0.222272369958604	0.0	-0.19142529265946828	0.22258322089618965	-0.11754138834779529	0.0	0.0	0.2644688508745363	0.0	0.0	0.0	0.0	0.0	-0.1747411223591911	0.0	-0.27716732330631366	0.0	-0.2116135127167441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4276947181688159	0.0	0.0	0.35195815260911656	0.0	0.0	-0.19694112154703525	0.0	-0.18435380634606163	-0.1655349153656847	-0.2936742738899248	0.0	0.0	0.0	0.3243254605563879	-0.1257617397020132	0.0	0.434526910139249	0.0	0.0	0.0	-0.20890830371729077	0.0	0.0	0.0	0.0	0.0	0.3264185418855958	0.0	0.0	0.0	-0.22199247403891098	-0.10045574671901662	0.0
Olsenella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.12660125398105282	0.0	0.0	0.0	0.0	0.1331910854769781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12717307155810642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10245488940904629	0.0	0.14429670272172462	0.0	0.0	0.0	0.0	0.0	0.11458658767185519	0.0	0.3064514654457555	0.0	0.0	0.0	0.0	0.0	0.0	0.2974502776672824	0.0	0.10900594073619832	0.0	0.0	-0.19256521855479633	0.0	0.0	0.0	-0.1373948920763031	0.0	0.0	-0.12843546132449743	0.0	0.0	0.0	0.0	0.0	-0.1549786311923899	0.0	0.0	0.0	0.0	0.0	-0.1516106734502638	0.10337402548375417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.12173683246146473	-0.13449436188032254	-0.18586762640980958
Actinomyces	0.12794834596985694	-0.15537359811181312	0.0	0.0	-0.1276701056672819	0.0	0.0	0.0	0.107988591084902	0.0	-0.1203064387003831	-0.1349116478882458	0.0	0.0	0.0	0.0	-0.11552240007954079	0.13915009723395264	0.0	0.2551324828321773	-0.14035263199073908	0.22182578146534093	0.1242022065507874	0.0	-0.11750656190476497	0.0	0.0	-0.14743836913910863	0.0	0.0	-0.16320152665722876	0.0	0.2922674968368813	-0.10076615954609489	0.0	0.0	0.37632511706749194	0.0	0.19821710384013735	0.17867868913510637	0.3267688613824628	0.0	0.0	0.0	-0.1223718832222341	0.3962838032272026	0.0	-0.18448188344942837	0.0	-0.11332473598656603	-0.1474746145013765	0.31936899680404907	-0.12446185783898103	-0.1150170665746926	0.0	-0.16827477880973854	-0.1144567115919029	0.0	-0.22199247403891098	0.0	-0.12173683246146473	0.0	0.21015374654888017	0.2740690127801363
Porphyromonas	0.0	0.0	0.0	0.1569851350852144	-0.12165439531440979	0.0	-0.14408570189242148	0.0	0.0	0.0	-0.20061227616334248	0.0	0.0	0.0	0.0	-0.11611187283593599	-0.14672841906840106	0.0	0.0	0.0	-0.15227146311389736	0.0	0.0	0.12637706956382794	0.0	0.1652538161361449	0.0	-0.13988654164057868	0.0	0.0	0.0	0.0	0.29775187811922305	0.0	0.0	-0.16904473891637697	0.2871991830111883	0.0	0.3410524175734503	0.37718051672160297	0.0	0.0	0.0	0.0	0.0	0.3508653281022872	0.10024004553935645	0.0	0.0	-0.17279062908481474	-0.18668856454340987	0.33481027976788524	-0.17335437012523325	-0.18183419208294616	0.0	-0.14908120470655012	0.0	0.0	-0.10045574671901662	0.0	-0.13449436188032254	0.21015374654888017	0.0	0.2957667551302747
Prevotella	0.0	0.0	-0.11447727889444693	0.0	0.0	0.0	-0.12779277224203858	0.16239923888997332	0.0	0.0	-0.21663648727380902	0.2027483994946764	-0.27359095462994415	0.0	-0.10414352111423089	-0.20088355306495093	-0.24068353497608186	0.11208220252877851	-0.22421868595908634	0.1087292855970749	-0.19422415370342377	0.20337100855805973	0.19761630564375093	0.0	-0.19943584764083672	0.0	0.2730897817221085	-0.1927202692941185	-0.1399750012383154	-0.12537872007806272	0.10721124712821864	-0.16046989227736602	0.7671151882397613	0.28709509759813084	0.0	0.0	0.5489985206063185	-0.14833073586629208	0.1337064770356517	0.26382518830472457	0.3875195446736417	-0.16881288431085623	-0.15521784088861446	0.0	0.1340725048723428	0.6571551267713487	0.16071264111800143	0.16418586737804408	0.0	-0.17786349509011018	-0.21326887333104144	0.2939803693579174	-0.1895136916003653	-0.2005149218204591	-0.1234258462630674	-0.14215967344560926	-0.17248076616151636	0.3272323920318118	0.0	0.0	-0.18586762640980958	0.2740690127801363	0.2957667551302747	0.0
